state	action
482	0
420	250
494	10
494	10
78	10
78	20
78	10
88	10
369	10
76	20
116	10
496	10
44	50
417	10
417	10
417	10
393	20
393	20
380	20
63	20
63	20
501	30
501	20
501	20
417	20
417	20
417	10
22	10
22	20
133	20
503	30
503	10
503	10
500	10
500	10
417	30
417	20
417	30
416	30
416	30
507	40
471	110
423	30
448	10
515	50
459	40
456	10
456	10
456	10
472	10
60	20
68	10
68	10
69	10
68	30
89	20
68	20
68	20
89	10
68	10
68	10
67	30
90	20
60	10
89	20
89	10
68	20
60	10
69	20
97	10
97	20
69	10
86	10
84	20
57	10
51	20
49	30
49	10
516	20
518	10
524	60
524	10
530	10
530	10
532	10
532	10
515	10
129	70
69	40
69	20
62	50
539	50
539	10
541	10
544	10
128	10
72	50
121	40
210	20
23	20
540	50
546	10
536	10
544	10
69	70
533	150
533	50
18	20
94	10
90	20
67	10
69	20
129	10
68	10
68	30
68	40
301	10
207	10
207	10
207	30
302	20
302	20
302	10
302	10
302	10
210	20
210	10
208	10
208	10
16	30
183	70
