state	action
743	53
743	4
743	6
743	47
179	76
184	15
179	5
18	45
504	40
64	16
158	21
17	6
1	48
158	60
116	5
114	3
114	14
114	38
86	12
112	33
114	35
18	36
112	45
208	51
18	18
18	1
1	25
18	74
164	15
189	28
183	70
62	1
439	79
302	74
183	13
16	6
64	43
504	18
1	25
6	65
164	69
164	20
166	2
164	35
66	56
8	61
89	48
416	68
48	50
2	30
1	5
48	41
12	76
17	61
17	29
158	51
213	30
177	54
16	53
18	50
222	69
85	63
85	5
89	74
1166	60
343	53
343	35
343	65
771	43
1202	44
62	44
56	46
54	25
66	33
22	29
0	44
372	13
8	74
24	17
582	46
22	25
0	76
16	3
16	15
9	4
114	63
2	76
23	74
2	38
376	80
56	21
378	53
216	58
55	32
93	38
86	19
479	74
85	44
47	65
86	64
86	43
68	75
129	29
792	73
448	21
450	1
452	25
219	71
191	37
89	12
1202	62
924	39
308	80
216	29
477	14
133	13
128	76
417	31
46	44
13	24
461	3
112	30
114	5
75	27
65	54
136	54
213	64
298	5
447	71
136	50
447	10
216	47
136	58
441	65
441	13
183	36
740	52
447	47
449	36
60	46
395	75
60	42
216	9
216	52
60	32
374	56
60	35
216	54
216	4
216	2
216	9
136	14
136	64
216	18
57	50
303	12
303	24
303	1
369	18
369	2
55	70
57	36
305	44
369	72
397	3
397	1
216	67
138	77
138	23
128	59
55	66
55	4
58	44
373	69
59	58
304	53
66	19
374	48
61	80
216	52
302	30
63	56
196	79
7	74
370	69
23	19
47	53
58	60
58	41
58	39
304	73
380	73
58	69
370	9
50	26
374	43
375	8
