hashcode	mean
v4p048q	5.574366022296077
v4p048m	3.940005671635452
v4p048k	4.16496559097998
v4p0487	5.0265179998483545
v4p0486	5.422429381878798
v4p0483	6.138616733636822
v4p0488	5.537364933133038
v4p042x	5.699151285210282
v4p042w	6.07084811845678
v4p042t	6.460090000081469
v4p042s	5.68016984292918
v4p042e	4.694737338428237
v4p042d	4.793060855191744
v4p042f	6.507216662130089
v4p042c	6.917320367467454
v4p042b	6.859123844664638
v4p040z	8.75507641687734
v4p040x	5.9077889324572235
v4p040q	4.960753396113233
v4p040m	5.41580592217305
v4p040j	1.7808276251493955
v4p040h	1.6660958457451596
v4p0405	1.8405683288810752
v1zpfpf	3.001251619863722
v1zpfpc	1.370010873011626
v1zpfpb	1.8374858696145475
v1zpczz	2.88313624622919
v1zpczy	2.30392118262372
v1zpczv	4.23161832788104
v1zpczu	5.232157788829084
v1zpczs	6.5641587789497695
v1zpcze	6.172723455483212
v1zpczd	6.253444229112012
v1zpcz9	6.792330363458433
v1zpcz3	8.04744553502116
v1zpcz2	9.312038511650522
v1zpcxr	10.952528902258049
v1zpcxp	10.9715578051932
v1zpcxn	10.852466615558601
v1zpcxj	9.766391104849363
v1zpcwv	9.520772541927325
v1zpcwu	9.551493735089204
v1zpcwg	9.66398084448698
v1zpcwe	10.23838129192276
v1zpcwd	9.74683534932294
v1zpcw3	9.614223802902142
v1zpcw2	10.674016064903626
v1zpcw0	10.1895729964328
v1zpcqp	10.274085741541999
v1zpcqn	10.635049411683234
v1zpcmy	11.1020364370487
v1zpcmv	11.12716596843884
v1zpcmu	11.699372616824698
v1zpcms	11.454056957482967
v1zpcme	9.864341653202136
v1zpcmd	7.755207203859291
v1zpcm6	5.850289652378007
v1zpcm3	5.870913810342147
v1zpcm2	7.93191266199901
v1zpcm0	7.99494705461597
v1zpcjp	3.6610733344890303
v1zpcjn	5.0262855770186
v1zpchy	5.25690721062316
v1zpchv	1.1156951730020919
v1zpchu	3.077621847656237
v1zpchg	0.6225582482075425
v1zpche	0.36457910011340655
v1zpchd	0.28581183851367736
v1zpch9	0.2897771089181133
v1zpch8	0.4900883223428096
v1zpbux	0.785410836882921
v1zpbuw	1.084876652332198
v1zpbum	1.0008766306458328
v1zpbuk	0.520301324811885
v1zpbu7	1.0284020385591575
v1zpbu6	1.4828100364775674
v1zpbu3	1.046674734425702
v1zpbu2	1.3756704418046648
v1zpbu0	1.5646363054784376
v1zpbsp	2.3530426889286318
v1zpbsn	3.53722911880159
v1zpbsj	4.087835429614325
v1zpbsh	4.813820640763307
v1zpbs5	6.036947425860809
v1zpbeg	6.346127695065276
v1zpbef	7.097043836463957
v1zpbec	8.356363327268465
v1zpbeb	9.773102710843139
v1zpb7z	11.466844143600724
v1zpb7y	8.604751465804362
v1zpb7t	8.654078446199202
v1zpb7s	8.540381811301343
v1zpb7e	9.147322392057987
v1zpb7d	8.9353360001572
v1zpb79	8.692393375603153
v1zpb78	8.612780488598535
v1zpb5x	8.7977558688492
v1zpb5w	8.319740056440615
v1zpb5q	8.244226072197964
v1zpb5m	8.625933585878494
v1zpb5k	8.920395749969044
v1zpb57	8.389375035491454
v1zpb56	7.145868655341687
v1zpb53	8.392308405039266
v1zpb52	8.966960571147947
v1yzzgr	8.08091812165401
v1yzzgn	6.891779305349802
v1yzzgj	4.851044338941047
v1yzzgh	3.9364144745804097
v1yzzg5	4.33074053184981
v1yzzg4	5.315415425606447
v1yzzg1	6.94788988123178
v1yzzg0	7.514114411658873
v1yzzep	8.05863800161231
v1yzzdz	7.690485051653099
v1yzzdy	7.738902885645284
v1yzzdv	8.066506522069409
v1yzzdu	7.9128912313059105
v1yzzdg	11.227239468441672
v1yzzdf	16.12575842432207
v1yzzdc	18.584127692214366
v1yzzdb	17.3202799374433
v1yzzd8	16.239471981165
v1yzz6x	14.773489387132733
v1yzz6w	12.807001951995934
v1yzz6t	10.300221555443578
v1yzz6s	8.367595369543196
v1yzz6e	6.269922368479063
v1yzz6d	5.061165984375361
v1yzz66	4.554980746794181
v1yzz63	3.67057949275055
v1yzz62	1.380205290377907
v1yzz4r	1.1918302616403693
v1yzz4q	2.4108436118066536
v1yzz4m	3.5505921077688636
v1yzz4h	1.1419103363052316
v1yzz45	2.2199465351276166
v1yzz44	4.37580539431535
v1yzz41	6.383040892709933
v1yzz40	7.709614267945203
v1yzyfp	7.73993324074792
v1yzycz	7.059296156636339
v1yzycy	7.291386646922712
v1yzycv	5.547452730430577
v1yzycu	4.85167429933853
v1yzycg	4.50824782372501
v1yzycf	4.066508076671954
v1yzycd	3.6893631851295203
v1yzyc9	3.2105501930130433
v1yzyc8	2.1071755048814924
v1yzy9x	1.8850670460433598
v1yzy9w	1.9413585674535774
v1yzy9t	1.4390582060275352
v1yzy9m	0.9613589699753949
v1yzy9k	0.24258925643520698
v1yzy97	0.32648813574937524
v1yzy96	1.0272883856257333
v1yzy93	1.441727848119855
v1yzy92	2.0785233971783668
v1yzy90	1.6415045324148798
v1yzy3p	2.184264007935623
v1yzy3n	2.2402620733698333
v1yzy3j	2.9979974180669897
v1yzy3h	3.6694392573221966
v1yzy35	3.983566604124553
v1yzy34	3.6703243172204196
v1yzy2f	3.463591498693057
v1yzy2c	3.7951735042218906
v1yzy2b	3.869071827849883
v1yzy0z	4.935475271419744
v1yzy0y	6.294543650010151
v1yzy0v	7.329234396548184
v1yzy0t	7.763613957580356
v1yzy0s	7.43319778761515
v1yzy0e	7.642563199994083
v1yzy0d	7.45604559344379
v1yzy09	6.55566409051139
v1yzy08	5.33842715353944
v1yzy02	4.26985775970573
v1yzvbr	3.3975496293160172
v1yzvbq	3.72700771006008
v1yzvbm	3.8938181751831333
v1yzvbk	3.3265442579898465
v1yzvb7	3.0648114889668596
v1yzvb5	3.23610894220319
v1yzvb4	3.6418683162348837
v1yzvb1	4.00990457708929
v1yzvb0	4.751159887151408
v1yzv8p	5.991949488022155
v1yzv8n	4.86409743125424
v1yztxy	6.449402824635665
v1yztxv	7.313151718644418
v1yztxu	8.960549209804444
v1yztxg	8.289620463233309
v1yztxe	9.921848741623863
v1yztxd	9.631429372284185
v1yztx9	9.536890807161397
v1yztx3	9.8112016810021
v1yztx2	6.7448626445195075
v1yztrr	5.867035186896212
v1yztrq	4.000687264235323
v1yztrm	2.7101415703326404
v1yztrj	1.0841342088578256
v1yztrh	1.9395745141827023
v1yztr5	3.0889560259022084
v1yztr4	1.326387692419831
v1yztr1	1.0511521248760447
v1yztr0	4.32028599231834
v1yztpp	3.6308130267760954
v1yztpn	2.6792726189257596
v1yztpq	2.9787452681546434
v1yztpm	2.6263824865393124
v1yztpk	2.4394592214420068
v1yztp7	2.333581655636415
v1yztp6	2.2678500855672437
v1yztp3	2.459009356796665
v1yztp2	0.318413496215415
v1yzszr	1.9289729733475969
v1yzszq	4.669786549772925
v1yzszm	5.1592185720420565
v1yzszk	8.449803666669396
v1yzsz7	9.265679657252283
v1yzsz6	8.943035304720798
v1yzsz3	7.687474997786469
v1yzsz1	7.395544153595196
v1yzsz0	7.131324294721078
v1yzsxp	7.121610767692331
v1yzsxn	6.37017592520655
v1yzsxj	5.628543686969415
v1yzsxh	6.021423507221436
v1yzsx5	6.59043767421306
v1yzswg	6.8545513379237795
v1yzswf	8.468610368785617
v1yzswc	10.434474696563068
v1yzswb	12.887179474727667
v1yzsqz	15.697195075983949
v1yzsqy	18.214954952131134
v1yzsqv	19.4889980075069
v1yzsqt	20.6547137896602
v1yzsqs	22.540770586847625
v1yzsqe	23.283527665829638
v1yzsqd	22.8251160487403
v1yzsq9	15.88980934807765
v1yzsq2	9.35463827006718
v1yzsnr	4.640632536268894
v1yzsnq	3.735727364140987
v1yzsnm	3.30694605197666
v1yzsnj	3.27930561706049
v1yzsnh	3.3476044169812362
v1yzsn5	3.14167216448803
v1yzsn4	3.293603990665002
v1yzsn1	3.10951326004852
v1yzsjc	3.2657282302226003
v1yzsjb	3.3531365163803426
v1yzevz	3.20002155178427
v1yzevy	2.88670567429218
v1yzevv	2.6976969809863403
v1yzevt	2.825178924493757
v1yzevs	2.66358978248613
v1yzeve	3.24778176542036
v1yzevd	3.551968874143823
v1yzev6	3.3988803370308798
v1yzev3	3.0060219214672763
v1yzev2	2.7182713855818554
v1yzetr	2.582079930682967
v1yzetq	3.0095067223120804
v1yzetn	2.8154167659253995
v1yzetj	2.7295426516332797
v1yzeth	2.5319138928089853
v1yzet5	2.8264671795640774
v1yzesf	2.942722211354687
v1yzesc	2.39206317388905
v1yzesb	2.895718559328135
v1yzekz	3.8686792129095564
v1yzekx	3.6990490031302596
v1yzekw	8.307355195104307
v1yzekt	13.148924174350448
v1yzeks	12.894378800719576
v1yzeke	12.411272073910599
v1yzek7	11.368856478955825
v1yzek6	11.11821674006955
v1yzek3	10.730012958035175
v1yzek1	10.6789249009213
v1yzek0	11.580000811088984
v1yzehp	6.944552303767525
v1yzehn	1.6566723923011024
v1yze5y	2.06762899585831
v1yze5v	3.9591790178257376
v1yze5u	5.452191592529328
v1yze5g	8.265299842725637
v1yze5e	12.8514534781358
v1yze5d	4.886138783127594
v1yze59	3.1795955995108525
v1yze58	9.941102189351415
v1yzdgx	10.22309271467681
v1yzdgw	9.957460778962558
v1yzdgt	9.978768128423969
v1yzdgs	10.06970908040857
v1yzdge	9.595270836787625
v1yzdgf	9.741501832568936
v1yzdgc	10.095730764122463
v1yzdgb	10.23956579235446
v1yzdez	9.135339298281236
v1yzdey	9.405171147786627
v1yzdev	9.488020432526291
v1yzdeu	7.58300412710515
v1yzdeg	6.534327826575617
v1yzdef	5.691010046432912
v1yzdec	5.584525216686625
v1yzdeb	6.5930502052389635
v1yzd7z	7.858687827211287
v1yzd7y	8.292753644959411
v1yzd7v	7.982840240599455
v1yzd7u	7.519779285717953
v1yzd7g	7.39093688930873
v1yzd7f	7.27826709875729
v1yzd7c	7.265408664713942
v1yzd7b	2.5123703634098495
v1yzd5z	6.3103583361997595
v1yzd5y	7.110746900140866
v1yzdhn	7.07426865748625
v1yzdhj	6.31174863886627
v1yzdhh	5.650807861387795
v1yzdh5	5.101770684543883
v1yzdh4	5.394299566612442
v1yzdh1	5.32976900207159
v1yzdh0	5.331523948451056
v1yz9up	4.943099948617612
v1yz9uq	4.570474965250036
v1yz9um	4.43930630392798
v1yz9uk	1.1645351082457163
v1yz9u7	3.5889551163481634
v1yz9u6	4.73550929486624
v1yz9u3	4.8878417476349165
v1yz9u2	4.704760975488511
v1yz9sr	4.989495438452574
v1yz9sq	5.596522619060215
v1yz9sm	6.4045431797799
v1yz9sk	6.283219117796669
v1yz9s7	6.230361676652507
v1yz9s6	6.06969285880285
v1yz9s3	6.23917788750227
v1yz9s2	6.523715717402034
v1yz9s8	6.70645214016078
v1yz9kx	6.3284862197854
v1yz9kw	6.582795213459447
v1yz9kt	6.691260606948067
v1yz9ks	7.37124038250601
v1yz9ke	8.32401585547512
v1yz9kd	8.351615350161962
v1yz9k9	8.118515250406354
v1yz9k8	2.6735608629774004
v1yz9hx	4.802680198773683
v1yz9hw	12.540083608646732
v1yz9ht	18.59573192440915
v1yz9hm	21.7271996966329
v1yz9hk	20.682005877048702
v1yz9h7	17.974084535984453
v1yz9h6	16.63087341727852
v1yz9h3	15.8424187684006
v1yz9h1	15.020384682199568
v1yz9h0	13.77579552322555
v1yz8up	11.490242951626401
v1yz8un	10.784145267613498
v1yz8uj	11.201097671355349
v1yz8gv	11.118873489673852
v1yz8gu	9.301344138094892
v1yz8gg	8.486263090232347
v1yz8gf	7.450975094082089
v1yz8gc	6.61691382680224
v1yz8g9	6.328721569407035
v1yz8g8	5.509145348156173
v1yz8ex	5.501323099962507
v1yz8ew	7.215354350693136
v1yz8em	7.610959940481533
v1yz8ek	7.663401153238963
v1yz8e7	7.328131205053434
v1yz8e6	6.877599410292291
v1yz8e4	7.114468534970834
v1yz8e1	7.506745298540107
v1yz8e0	8.29955781526398
v1yz87p	9.094483682756625
v1yz86z	8.854023836618302
v1yz86y	9.715225176998217
v1yz86v	10.089360560289727
v1yz86u	8.356771436645815
v1yz86e	6.74527288153723
v1yz86d	1.4056337460109796
v1yz869	2.0494772967127366
v1yz868	0.941937498556572
v1yz84x	1.8520487025200074
v1yz84w	1.1919750259657385
v1yz84t	7.168663467694349
v1yz84m	9.705920254474208
v1yz84k	11.041929672836787
v1yz84h	3.9130165392316996
v1yz845	5.1294810794580785
v1yz844	3.351468184917645
v1yz81f	0.4191098829926379
v1yz81c	0.15859685815988825
v1yz81b	0.5974218100396137
v1yxxcz	6.103794728943977
v1yxxcx	7.22819904586972
v1yxxcw	2.072421272833552
v1yxxct	3.08554894648258
v1yxxcs	4.238511643470712
v1yxxce	0.7496255471116798
v1yxxcd	3.1729814275693875
v1yxxc9	4.3737539502467
v1yxxc3	5.0392440044735
v1yxxc2	6.015680166226809
v1yxx9r	7.043220637946455
v1yxx9q	7.36088189345494
v1yxx9m	7.04789869755372
v1yxx9k	6.9132557695566375
v1yxx97	6.502788317541103
v1yxx96	5.9125832712800115
